"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION"
"Bharat Heavy Electricals Limited","63.17","36.83","0","-","31-DEC-2022","12-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173969_763643_12012023025826_WEB.xml"
"Hindustan Zinc Limited","64.92","35.08","0","-","31-DEC-2022","12-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173970_763645_12012023025949_WEB.xml"
"Venus Remedies Limited","41.76","58.24","0","-","31-DEC-2022","12-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173971_763651_12012023030102_WEB.xml"
"INOX Leisure Limited","44.04","55.96","0","-","31-DEC-2022","12-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173972_763660_12012023030505_WEB.xml"
"Orient Abrasives Limited","63.58","36.42","0","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174170_765742_13012023041337_WEB.xml"
"Glenmark Life Sciences Limited","82.85","17.15","0","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174171_765747_13012023041453_WEB.xml"
"Tera Software Limited","47.53","52.47","0","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174173_765763_13012023041804_WEB.xml"
"Mirza International Limited","68.15","31.85","0","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174174_765770_13012023041938_WEB.xml"
"Sky Gold Limited","73.55","26.45","0","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174176_765819_13012023042839_WEB.xml"
"Zee Entertainment Enterprises Limited","3.99","96.01","0","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174177_765829_13012023042926_WEB.xml"
"Bombay Dyeing & Mfg Company Limited","53.66","46.34","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174793_771810_18012023054326_WEB.xml"
"Prudential Sugar Corporation Limited","59.02","40.98","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174794_771812_18012023054335_WEB.xml"
"DCM Financial Services Limited","39.5","60.5","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174795_771820_18012023054435_WEB.xml"
"Electronics Mart India Limited","77.97","22.03","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174796_771823_18012023054519_WEB.xml"
"S H Kelkar and Company Limited","58.46","39.19","2.34","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174797_771825_18012023054556_WEB.xml"
"FCS Software Solutions Limited","19.65","80.35","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174798_771843_18012023055105_WEB.xml"
"Imagicaaworld Entertainment Limited","72.66","27.34","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174799_771845_18012023055119_WEB.xml"
"CESC Limited","52.11","47.89","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174800_771854_18012023055231_WEB.xml"
"Ace Integrated Solutions Limited","73.53","26.47","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174801_771857_18012023055253_WEB.xml"
"OM INFRA LIMITED","71.68","28.32","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174802_771866_18012023055445_WEB.xml"
"Elgi Rubber Company Limited","65.03","34.97","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174803_771890_18012023055712_WEB.xml"
"Sterlite Technologies Limited","54.09","45.91","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174804_771917_18012023055940_WEB.xml"
"S.E. Power Limited","35.6","64.4","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174805_771923_18012023060026_WEB.xml"
"GHCL Limited","19.05","80.95","0","Revised","31-DEC-2022","07-JAN-2023","10-JAN-2023","https://archives.nseindia.com/corporate/xbrl/SHP_173520_757949_07012023052852_WEB.xml"
"VRL Logistics Limited","64.17","35.83","0","-","31-DEC-2022","10-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173644_760053_10012023124730_WEB.xml"
"IVP Limited","71.32","28.68","0","-","31-DEC-2022","10-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173645_760067_10012023125144_WEB.xml"
"NMDC Limited","60.79","39.21","0","-","31-DEC-2022","10-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173646_760077_10012023125610_WEB.xml"
"Jaiprakash Power Ventures Limited","24","76","0","-","31-DEC-2022","10-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173647_760084_10012023125718_WEB.xml"
"Aakash Exploration Services Limited","66.67","33.33","0","-","31-DEC-2022","10-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173648_760104_10012023010028_WEB.xml"
"Nitco Limited","53.02","46.98","0","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174187_765941_13012023044955_WEB.xml"
"Life Insurance Corporation Of India","96.5","3.5","0","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174188_765954_13012023045111_WEB.xml"
"Everest Kanto Cylinder Limited","67.39","32.61","0","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174189_765961_13012023045158_WEB.xml"
"ZF Commercial Vehicle Control Systems India Limited","75","25","0","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174190_765972_13012023045344_WEB.xml"
"Jayant Agro Organics Limited","67.12","32.88","0","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174191_765978_13012023045413_WEB.xml"
"IFGL Refractories Limited","72.43","27.57","0","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174192_765986_13012023045526_WEB.xml"
"Brand Concepts Limited","54.13","45.87","0","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174193_765991_13012023045613_WEB.xml"
"GIC Housing Finance Limited","42.41","57.59","0","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174194_766002_13012023045853_WEB.xml"
"Themis Medicare Limited","67.18","32.82","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174680_771004_18012023021245_WEB.xml"
"Indian Oil Corporation Limited","51.5","48.5","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174681_771010_18012023021647_WEB.xml"
"Kaushalya Infrastructure Development Corporation Limited","51.42","48.58","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174682_771024_18012023022540_WEB.xml"
"Exide Industries Limited","45.99","54.01","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174683_771026_18012023022549_WEB.xml"
"Kewal Kiran Clothing Limited","74.25","25.75","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174684_771030_18012023022634_WEB.xml"
"Vivimed Labs Limited","20.96","79.04","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174685_771034_18012023022807_WEB.xml"
"DB (International) Stock Brokers Limited","30.01","69.99","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174686_771038_18012023023133_WEB.xml"
"Vesuvius India Limited","55.57","44.43","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174687_771051_18012023023716_WEB.xml"
"Uniphos Enterprises Limited","73.78","26.22","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174736_771439_18012023040849_WEB.xml"
"Shreyans Industries Limited","50.53","49.47","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174737_771441_18012023040904_WEB.xml"
"Alembic Limited","70.88","29.12","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174838_772185_18012023071137_WEB.xml"
"IIFL Finance Limited","24.88","75.12","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174839_772195_18012023071417_WEB.xml"
"Maharashtra Scooters Limited","51","49","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174840_772199_18012023071433_WEB.xml"
"Whirlpool of India Limited","75","25","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174841_772213_18012023072118_WEB.xml"
"State Bank of India","57.5","42.5","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173902_762960_11012023095539_WEB.xml"
"HeidelbergCement India Limited","69.39","30.61","0","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174089_764988_13012023121040_WEB.xml"
"JSW Holdings Limited","66.29","33.7","0.01","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174090_764990_13012023121112_WEB.xml"
"Steel Strips Wheels Limited","62.6","37.4","0","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174091_764995_13012023121144_WEB.xml"
"Orissa Bengal Carrier Limited","68.56","31.44","0","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174092_764998_13012023121237_WEB.xml"
"Wanbury Limited","39.84","60.16","0","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174093_765004_13012023121341_WEB.xml"
"Honda India Power Products Limited","66.67","33.33","0","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174094_765012_13012023121625_WEB.xml"
"Ganesh Housing Corporation Limited","73.06","26.94","0","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174095_765014_13012023121716_WEB.xml"
"Nitiraj Engineers Limited","69.07","30.93","0","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174096_765037_13012023122336_WEB.xml"
"Mawana Sugars Limited","63.49","36.51","0","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174097_765057_13012023123424_WEB.xml"
"Univastu India Limited","73.47","26.53","0","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174098_765064_13012023123549_WEB.xml"
"BF Investment Limited","74.13","25.87","0","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174099_765074_13012023123814_WEB.xml"
"Shalby Limited","74.12","25.01","0.87","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174178_765842_13012023043109_WEB.xml"
"Oil India Limited","56.66","43.34","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174750_771570_18012023044338_WEB.xml"
"Control Print Limited","51.78","48.22","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174751_771572_18012023044458_WEB.xml"
"TREJHARA SOLUTIONS LIMITED","30","70","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174752_771576_18012023044537_WEB.xml"
"Uniparts India Limited","65.79","32.24","1.98","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174754_771586_18012023044707_WEB.xml"
"Paramount Communications Limited","62.12","37.88","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174755_771588_18012023044747_WEB.xml"
"Jyothy Labs Limited","62.89","37.11","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174756_771593_18012023045006_WEB.xml"
"Aaron Industries Limited","74.97","25.03","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174757_771599_18012023045045_WEB.xml"
"Linde India Limited","75","25","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174758_771607_18012023045500_WEB.xml"
"ATN International Limited","0.17","99.83","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174759_771611_18012023045721_WEB.xml"
"TD Power Systems Limited","58.45","41.34","0.2","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174760_771613_18012023045741_WEB.xml"
"The Investment Trust Of India Limited","72.12","27.88","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174761_771619_18012023045921_WEB.xml"
"Educomp Solutions Limited","44.78","55.22","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174762_771631_18012023050357_WEB.xml"
"Asian Energy Services Limited","59.61","39.39","1","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174763_771634_18012023050435_WEB.xml"
"Radico Khaitan Limited","40.27","59.73","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174764_771646_18012023050602_WEB.xml"
"ICRA Limited","51.87","47.8","0.33","-","31-DEC-2022","09-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173613_759575_09012023082402_WEB.xml"
"InterGlobe Aviation Limited","71.92","28.08","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173758_761398_11012023111135_WEB.xml"
"Indraprastha Medical Corporation Limited","51","49","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173759_761405_11012023111436_WEB.xml"
"KCP Sugar and Industries Corporation Limited","40.59","59.41","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173760_761407_11012023111445_WEB.xml"
"Dilip Buildcon Limited","70.15","29.85","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173761_761411_11012023111600_WEB.xml"
"Orient Paper & Industries Limited","38.74","61.26","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173762_761413_11012023111710_WEB.xml"
"Seamec Limited","72.04","27.96","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173763_761440_11012023112807_WEB.xml"
"IL&FS Investment Managers Limited","50.42","49.58","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173764_761442_11012023112919_WEB.xml"
"NCC Limited","21.99","78.01","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173766_761473_11012023113804_WEB.xml"
"Cords Cable Industries Limited","51.77","48.23","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173767_761475_11012023113821_WEB.xml"
"Entertainment Network (India) Limited","71.15","28.85","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173839_762146_11012023034529_WEB.xml"
"Naga Dhunseri Group Limited","73.58","26.42","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173840_762148_11012023034613_WEB.xml"
"Hindustan Composites Limited","74.97","25.03","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173841_762157_11012023034852_WEB.xml"
"Lloyds Luxuries Limited","73.33","26.67","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173842_762163_11012023035115_WEB.xml"
"Tata Steel Limited","33.9","66.1","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174842_772215_18012023072159_WEB.xml"
"Thyrocare Technologies Limited","71.14","28.86","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174844_772222_18012023072301_WEB.xml"
"Keystone Realtors Limited","86.7","13.3","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174845_772229_18012023072634_WEB.xml"
"Bajaj Finance Limited","55.91","43.9","0.18","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174846_772234_18012023072857_WEB.xml"
"Godfrey Phillips India Limited","72.58","27.42","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174847_772243_18012023073346_WEB.xml"
"RPSG VENTURES LIMITED","59.09","40.91","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174848_772245_18012023073430_WEB.xml"
"PB Fintech Limited","0","99.17","0.83","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174849_772252_18012023073700_WEB.xml"
"JSW Energy Limited","74.66","25.08","0.27","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174850_772257_18012023073806_WEB.xml"
"Arihant Superstructures Limited","74.71","25.29","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174851_772273_18012023075634_WEB.xml"
"Nandani Creation Limited","58.64","41.37","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174858_772342_18012023095020_WEB.xml"
"Prime Securities Limited","0","100","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174859_772346_18012023100704_WEB.xml"
"HMT Limited","93.69","6.31","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174865_772380_19012023094826_WEB.xml"
"Hindustan Aeronautics Limited","75.15","24.85","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174866_772382_19012023094903_WEB.xml"
"Prolife Industries Limited","73.74","26.26","0","-","31-DEC-2022","10-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173655_760186_10012023014241_WEB.xml"
"Soma Textiles & Industries Limited","63.68","36.32","0","-","31-DEC-2022","10-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173656_760191_10012023014659_WEB.xml"
"BPL Limited","63.17","36.83","0","-","31-DEC-2022","10-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173658_760202_10012023015336_WEB.xml"
"Vardhman Polytex Limited","60.16","39.84","0","-","31-DEC-2022","10-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173659_760207_10012023015627_WEB.xml"
"Nelcast Limited","74.87","25.13","0","-","31-DEC-2022","10-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173661_760223_10012023020714_WEB.xml"
"Vimta Labs Limited","37.25","62.75","0","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174179_765866_13012023043430_WEB.xml"
"HDFC Asset Management Company Limited","62.78","37.22","0","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174237_766568_13012023073154_WEB.xml"
"Tejas Networks Limited","51.97","48.03","0","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174238_766570_13012023073241_WEB.xml"
"Khaitan (India) Limited","60.24","39.76","0","-","31-DEC-2022","14-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174258_766838_14012023013852_WEB.xml"
